codigo_unico,region,pais,codigo_pais,nombre_subnacional,nombre_nivel,nivel_gobierno,codigo_nivel,gob_regional,gob_local,poblacion,poblacion_anio,urbano,analfabetismo,fin_secundaria_adultos,participacion_mujeres,participacion_hombres,agua_mejorada,saneamiento_mejorado,electricidad,desempleo_adulto,desempleo_adulto_mujer,desempleo_adulto_hombre,recoleccion_residuos,empleo_publico_categoria,etnia_indigena,etnia_afro,tics_computadora,tics_celular,tiene_ods,hogares
ARG020912091,América del Sur,Argentina,ARG,Comuna 13,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 13,262330,2022,1,0.00235934481648422,0.9056063793356488,0.7724789890634609,0.8869245975713076,0.9996130069361064,0.9962491441499548,1,0.04118982313439894,0.04782717282717282,0.03442017448895115,0.988500501056684,0.22794936243960107,0.00559313103043181,0.01188594331718019,0.7874217331335523,0.8966728519404229,1,100899
ARG020982098,América del Sur,Argentina,ARG,Comuna 14,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 14,247252,2022,0.9999999999277576,0.00225447085944085,0.8988769611890999,0.7726050220159467,0.8704453441295547,0.9977418287293892,0.9964862076349548,0.9999415990188636,0.046141512279532,0.05298666091617633,0.03886341303635768,0.9866884633348902,0.23836949096648055,0.00516498265788412,0.01481721011202608,0.8025365492806946,0.9037454495902196,1,102923
ARG021052105,América del Sur,Argentina,ARG,Comuna 15,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 15,195265,2022,1,0.00306306540163796,0.7951122594990787,0.7823153574704246,0.8837011306361531,0.9981711928497766,0.990979718116191,0.9996974905465796,0.04782727788538671,0.05707018519990461,0.03886469613472581,0.9834943583964376,0.235141393586415,0.00551312583832909,0.01820371739070926,0.7233001031282228,0.8667033344792024,1,72839
ARG060070007,América del Sur,Argentina,ARG,Adolfo Alsina,Municipio,Local,2,Buenos Aires,Adolfo Alsina,17344,2022,0,0.01589670870960519,0.4002798270160264,0.6505144995322731,0.8805351422649331,0.8484848484848485,0.7316017316017316,0.9963123296456632,0.0603680981595092,0.08340523439746908,0.04322704900492189,0.8845598845598845,0.7333931777378815,0.00374882849109653,0.01780693533270853,0.3997113997113997,0.8613115279781947,1,6266
ARG060140014,América del Sur,Argentina,ARG,Adolfo Gonzales Chaves,Municipio,Local,2,Buenos Aires,Adolfo Gonzales Chaves,12847,2022,0,0.01242437337942956,0.4114147611080126,0.6215633423180593,0.8550215982721382,0.8532984043819958,0.7277923315075018,0.9983329364134318,0.04330348985930934,0.06374674761491761,0.02841806125670982,0.8952131459871397,0.7538222911588743,0.00215821366315265,0.00838382999916991,0.49249821386044296,0.886401524172422,1,4208
ARG060210021,América del Sur,Argentina,ARG,Alberti,Municipio,Local,2,Buenos Aires,Alberti,12906,2022,0,0.01115910727141828,0.4996871741397289,0.6261055199756023,0.8802263439170073,0.7876175548589341,0.8388192267502613,0.9984326018808776,0.03090871625798475,0.05065757428153921,0.01642857142857142,0.8594566353187043,0.7255591857250565,0.00131406044678055,0.00835366998310493,0.4367816091954023,0.8691222570532915,1,3835
ARG060280028,América del Sur,Argentina,ARG,Almirante Brown,Municipio,Local,2,Buenos Aires,Almirante Brown,583209,2022,0.9999999999683118,0.01417542270234074,0.42484597036726257,0.6086539045211988,0.8500883537787576,0.4964154739469261,0.6611763357612185,0.9980644832679672,0.07368348152622649,0.10421955465293392,0.05117202382145936,0.9567373809402536,0.4321129116570831,0.00395324822818163,0.02114608029832014,0.45620893393775785,0.8423954566291448,1,157142
ARG060350035,América del Sur,Argentina,ARG,Avellaneda,Municipio,Local,2,Buenos Aires,Avellaneda,366117,2022,0.9999999999305644,0.00941806617195781,0.5681199155828929,0.6764782790600377,0.8719509327112123,0.993609092438016,0.830888796438087,0.9993184212156888,0.06927693156862515,0.0909664867093582,0.05111607383672632,0.9619298773473036,0.4014346221296478,0.00815632568044848,0.015634905100917,0.5419967602878564,0.8261265966204314,1,113070
ARG060420042,América del Sur,Argentina,ARG,Ayacucho,Municipio,Local,2,Buenos Aires,Ayacucho,21757,2022,0,0.01492830485169907,0.3922428330522766,0.635450421257291,0.8731221423905944,0.8482847710635855,0.8118271853021387,0.995550452131477,0.03927068723702665,0.06527281998980113,0.02019824200486254,0.838237404908856,0.7180174146014735,0.00211437281801642,0.01126026454245955,0.3591215731304722,0.8643605569111525,1,6984
ARG060490049,América del Sur,Argentina,ARG,Azul,Municipio,Local,2,Buenos Aires,Azul,75152,2022,0,0.01467790704659684,0.4961472894647118,0.6111983511630189,0.8557929334428923,0.9057073082489148,0.8393180173661361,0.9938947178002896,0.05199354373433153,0.07482938578883983,0.03492558809409506,0.9223950795947902,0.3658768631359579,0.00189686558259778,0.01612335745208119,0.46526772793053545,0.8744120839363242,1,22167
ARG060560056,América del Sur,Argentina,ARG,Bahía Blanca,Municipio,Local,2,Buenos Aires,Bahía Blanca,334505,2022,0.9642230116544206,0.00900972731621751,0.595776542199914,0.6241349223660989,0.8270021927534719,0.9895482963723088,0.902143549398552,0.9991353590635276,0.06645046464674888,0.08535481103750656,0.05142546905381177,0.9729544871612186,0.2893611848370039,0.00261726265507861,0.03294632787102766,0.5746726716454782,0.9039013359177546,1,105440
ARG060630063,América del Sur,Argentina,ARG,Balcarce,Municipio,Local,2,Buenos Aires,Balcarce,48516,2022,0,0.01602262016965127,0.4328292034090349,0.5922274199352285,0.8638483965014577,0.8932744565217392,0.8086277173913043,0.9922554347826088,0.05756685424032667,0.08773848584275125,0.03661829227134661,0.8916513823789145,0.585214281526646,0.00244164023458001,0.01316660201264176,0.42459239130434784,0.8612771739130435,1,14746
